                                                                                                                             
{'loss': 11.0056, 'grad_norm': 4.1875, 'learning_rate': 8.310249307479223e-07, 'epoch': 0.0}
{'loss': 10.9796, 'grad_norm': 4.71875, 'learning_rate': 1.6620498614958447e-06, 'epoch': 0.0}
{'loss': 10.9772, 'grad_norm': 4.4375, 'learning_rate': 2.493074792243767e-06, 'epoch': 0.0}
{'loss': 10.9784, 'grad_norm': 4.4375, 'learning_rate': 3.3240997229916894e-06, 'epoch': 0.0}
{'loss': 10.9957, 'grad_norm': 4.5625, 'learning_rate': 4.155124653739612e-06, 'epoch': 0.0}
{'loss': 10.9849, 'grad_norm': 4.15625, 'learning_rate': 4.986149584487534e-06, 'epoch': 0.0}
{'loss': 10.9858, 'grad_norm': 4.5, 'learning_rate': 5.8171745152354565e-06, 'epoch': 0.0}
{'loss': 10.9415, 'grad_norm': 4.40625, 'learning_rate': 6.648199445983379e-06, 'epoch': 0.0}
{'loss': 10.9501, 'grad_norm': 4.46875, 'learning_rate': 7.479224376731302e-06, 'epoch': 0.0}
{'loss': 10.9659, 'grad_norm': 4.40625, 'learning_rate': 8.310249307479224e-06, 'epoch': 0.0}
{'loss': 10.9383, 'grad_norm': 4.53125, 'learning_rate': 9.141274238227146e-06, 'epoch': 0.0}
{'loss': 10.9057, 'grad_norm': 4.40625, 'learning_rate': 9.972299168975068e-06, 'epoch': 0.0}
{'loss': 10.876, 'grad_norm': 4.3125, 'learning_rate': 1.0803324099722992e-05, 'epoch': 0.0}
{'loss': 10.836, 'grad_norm': 4.34375, 'learning_rate': 1.1634349030470913e-05, 'epoch': 0.0}
{'loss': 10.7855, 'grad_norm': 4.34375, 'learning_rate': 1.2465373961218835e-05, 'epoch': 0.0}
{'loss': 10.765, 'grad_norm': 4.1875, 'learning_rate': 1.3296398891966757e-05, 'epoch': 0.0}
{'loss': 10.732, 'grad_norm': 4.0625, 'learning_rate': 1.4127423822714681e-05, 'epoch': 0.0}
{'loss': 10.6759, 'grad_norm': 3.953125, 'learning_rate': 1.4958448753462604e-05, 'epoch': 0.0}
{'loss': 10.6135, 'grad_norm': 4.3125, 'learning_rate': 1.5789473684210522e-05, 'epoch': 0.0}
{'loss': 10.5827, 'grad_norm': 4.03125, 'learning_rate': 1.6620498614958448e-05, 'epoch': 0.0}
{'loss': 10.5063, 'grad_norm': 3.859375, 'learning_rate': 1.745152354570637e-05, 'epoch': 0.0}
{'loss': 10.3989, 'grad_norm': 3.8125, 'learning_rate': 1.8282548476454293e-05, 'epoch': 0.0}
{'loss': 10.3717, 'grad_norm': 3.21875, 'learning_rate': 1.9113573407202215e-05, 'epoch': 0.0}
{'loss': 10.2202, 'grad_norm': 3.328125, 'learning_rate': 1.9944598337950137e-05, 'epoch': 0.0}
{'loss': 10.1675, 'grad_norm': 3.171875, 'learning_rate': 2.077562326869806e-05, 'epoch': 0.0}
{'loss': 10.1319, 'grad_norm': 2.9375, 'learning_rate': 2.1606648199445985e-05, 'epoch': 0.0}
{'loss': 10.0274, 'grad_norm': 2.921875, 'learning_rate': 2.24376731301939e-05, 'epoch': 0.0}
{'loss': 10.0261, 'grad_norm': 2.6875, 'learning_rate': 2.3268698060941826e-05, 'epoch': 0.0}
{'loss': 10.001, 'grad_norm': 2.5625, 'learning_rate': 2.4099722991689748e-05, 'epoch': 0.0}
{'loss': 9.8926, 'grad_norm': 2.671875, 'learning_rate': 2.493074792243767e-05, 'epoch': 0.0}
{'loss': 9.8593, 'grad_norm': 2.5625, 'learning_rate': 2.5761772853185593e-05, 'epoch': 0.0}
{'loss': 9.8031, 'grad_norm': 2.53125, 'learning_rate': 2.6592797783933515e-05, 'epoch': 0.0}
{'loss': 9.7397, 'grad_norm': 2.453125, 'learning_rate': 2.7423822714681437e-05, 'epoch': 0.0}
{'loss': 9.6878, 'grad_norm': 2.421875, 'learning_rate': 2.8254847645429363e-05, 'epoch': 0.0}
{'loss': 9.5241, 'grad_norm': 2.5, 'learning_rate': 2.9085872576177285e-05, 'epoch': 0.0}
{'loss': 9.5871, 'grad_norm': 2.28125, 'learning_rate': 2.9916897506925207e-05, 'epoch': 0.0}
{'loss': 9.5119, 'grad_norm': 2.296875, 'learning_rate': 3.074792243767313e-05, 'epoch': 0.01}
{'loss': 9.5358, 'grad_norm': 2.203125, 'learning_rate': 3.1578947368421045e-05, 'epoch': 0.01}
{'loss': 9.5219, 'grad_norm': 2.171875, 'learning_rate': 3.2409972299168974e-05, 'epoch': 0.01}
{'loss': 9.4355, 'grad_norm': 2.203125, 'learning_rate': 3.3240997229916896e-05, 'epoch': 0.01}
{'loss': 9.3735, 'grad_norm': 2.203125, 'learning_rate': 3.407202216066482e-05, 'epoch': 0.01}
{'loss': 9.276, 'grad_norm': 2.234375, 'learning_rate': 3.490304709141274e-05, 'epoch': 0.01}
{'loss': 9.2965, 'grad_norm': 2.1875, 'learning_rate': 3.573407202216066e-05, 'epoch': 0.01}
{'loss': 9.2697, 'grad_norm': 2.09375, 'learning_rate': 3.6565096952908585e-05, 'epoch': 0.01}
{'loss': 9.1742, 'grad_norm': 2.15625, 'learning_rate': 3.739612188365651e-05, 'epoch': 0.01}
{'loss': 9.1594, 'grad_norm': 2.140625, 'learning_rate': 3.822714681440443e-05, 'epoch': 0.01}
{'loss': 9.1423, 'grad_norm': 2.0625, 'learning_rate': 3.905817174515235e-05, 'epoch': 0.01}
{'loss': 9.1629, 'grad_norm': 2.046875, 'learning_rate': 3.9889196675900274e-05, 'epoch': 0.01}
