  0%|                                                                              | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160M-WikiText-512-flash_attention_2.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                            
{'loss': 5.0456, 'grad_norm': 1.2421875, 'learning_rate': 2.727272727272727e-06, 'epoch': 0.0}
{'loss': 4.9347, 'grad_norm': 1.21875, 'learning_rate': 5.454545454545454e-06, 'epoch': 0.0}
{'loss': 5.0324, 'grad_norm': 1.1640625, 'learning_rate': 8.181818181818181e-06, 'epoch': 0.0}
{'loss': 4.8927, 'grad_norm': 1.2265625, 'learning_rate': 1.0909090909090907e-05, 'epoch': 0.0}
{'loss': 5.0116, 'grad_norm': 1.1875, 'learning_rate': 1.3636363636363635e-05, 'epoch': 0.0}
{'loss': 4.8253, 'grad_norm': 1.1953125, 'learning_rate': 1.6363636363636363e-05, 'epoch': 0.0}
{'loss': 4.8648, 'grad_norm': 1.296875, 'learning_rate': 1.9090909090909087e-05, 'epoch': 0.0}
{'loss': 5.0183, 'grad_norm': 1.21875, 'learning_rate': 2.1818181818181814e-05, 'epoch': 0.0}
{'loss': 4.9174, 'grad_norm': 1.0859375, 'learning_rate': 2.4545454545454542e-05, 'epoch': 0.0}
{'loss': 4.7711, 'grad_norm': 1.0, 'learning_rate': 2.727272727272727e-05, 'epoch': 0.0}
{'loss': 4.8826, 'grad_norm': 1.0078125, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.01}
{'loss': 4.9245, 'grad_norm': 0.9375, 'learning_rate': 3.2727272727272725e-05, 'epoch': 0.01}
{'loss': 4.8318, 'grad_norm': 1.0234375, 'learning_rate': 3.545454545454545e-05, 'epoch': 0.01}
{'loss': 4.8254, 'grad_norm': 0.9375, 'learning_rate': 3.8181818181818174e-05, 'epoch': 0.01}
{'loss': 4.7827, 'grad_norm': 0.90234375, 'learning_rate': 4.09090909090909e-05, 'epoch': 0.01}
{'loss': 4.7468, 'grad_norm': 0.89453125, 'learning_rate': 4.363636363636363e-05, 'epoch': 0.01}
{'loss': 4.738, 'grad_norm': 0.76953125, 'learning_rate': 4.6363636363636356e-05, 'epoch': 0.01}
