  0%|                                                                                                 | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                                               
{'loss': 10.997, 'grad_norm': 4.3125, 'learning_rate': 2.727272727272727e-06, 'epoch': 0.0}
{'loss': 10.9961, 'grad_norm': 4.375, 'learning_rate': 5.454545454545454e-06, 'epoch': 0.0}
{'loss': 10.9925, 'grad_norm': 4.46875, 'learning_rate': 8.181818181818181e-06, 'epoch': 0.0}
{'loss': 10.9752, 'grad_norm': 4.5625, 'learning_rate': 1.0909090909090907e-05, 'epoch': 0.0}
{'loss': 10.9492, 'grad_norm': 4.375, 'learning_rate': 1.3636363636363635e-05, 'epoch': 0.0}
{'loss': 10.9078, 'grad_norm': 4.3125, 'learning_rate': 1.6363636363636363e-05, 'epoch': 0.0}
{'loss': 10.8646, 'grad_norm': 4.53125, 'learning_rate': 1.9090909090909087e-05, 'epoch': 0.0}
{'loss': 10.7493, 'grad_norm': 4.03125, 'learning_rate': 2.1818181818181814e-05, 'epoch': 0.0}
{'loss': 10.6025, 'grad_norm': 4.0, 'learning_rate': 2.4545454545454542e-05, 'epoch': 0.0}
{'loss': 10.4745, 'grad_norm': 3.6875, 'learning_rate': 2.727272727272727e-05, 'epoch': 0.0}
{'loss': 10.3667, 'grad_norm': 3.34375, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.01}
{'loss': 10.2731, 'grad_norm': 3.046875, 'learning_rate': 3.2727272727272725e-05, 'epoch': 0.01}
{'loss': 10.1446, 'grad_norm': 2.875, 'learning_rate': 3.545454545454545e-05, 'epoch': 0.01}
{'loss': 9.9754, 'grad_norm': 2.6875, 'learning_rate': 3.8181818181818174e-05, 'epoch': 0.01}
{'loss': 9.9112, 'grad_norm': 2.53125, 'learning_rate': 4.09090909090909e-05, 'epoch': 0.01}
{'loss': 9.7766, 'grad_norm': 2.4375, 'learning_rate': 4.363636363636363e-05, 'epoch': 0.01}
{'loss': 9.6675, 'grad_norm': 2.375, 'learning_rate': 4.6363636363636356e-05, 'epoch': 0.01}
{'loss': 9.5343, 'grad_norm': 2.40625, 'learning_rate': 4.9090909090909084e-05, 'epoch': 0.01}
{'loss': 9.4855, 'grad_norm': 2.28125, 'learning_rate': 5.181818181818181e-05, 'epoch': 0.01}
{'loss': 9.4412, 'grad_norm': 2.25, 'learning_rate': 5.454545454545454e-05, 'epoch': 0.01}
{'loss': 9.4269, 'grad_norm': 2.125, 'learning_rate': 5.727272727272727e-05, 'epoch': 0.01}
{'loss': 9.2783, 'grad_norm': 2.203125, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.01}
{'loss': 9.2597, 'grad_norm': 2.09375, 'learning_rate': 6.272727272727272e-05, 'epoch': 0.01}
{'loss': 9.1553, 'grad_norm': 2.09375, 'learning_rate': 6.545454545454545e-05, 'epoch': 0.01}
{'loss': 9.1207, 'grad_norm': 1.9609375, 'learning_rate': 6.818181818181817e-05, 'epoch': 0.01}
{'loss': 9.0132, 'grad_norm': 1.984375, 'learning_rate': 7.09090909090909e-05, 'epoch': 0.01}
{'loss': 8.9472, 'grad_norm': 1.90625, 'learning_rate': 7.363636363636363e-05, 'epoch': 0.01}
{'loss': 8.8539, 'grad_norm': 1.875, 'learning_rate': 7.636363636363635e-05, 'epoch': 0.01}
{'loss': 8.7558, 'grad_norm': 1.84375, 'learning_rate': 7.909090909090908e-05, 'epoch': 0.01}
{'loss': 8.7461, 'grad_norm': 1.734375, 'learning_rate': 8.18181818181818e-05, 'epoch': 0.01}
{'loss': 8.6324, 'grad_norm': 1.7421875, 'learning_rate': 8.454545454545454e-05, 'epoch': 0.01}
