  0%|                                                                               | 0/10962 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                              
{'loss': 10.9478, 'grad_norm': 3.78125, 'learning_rate': 5.469462169553326e-07, 'epoch': 0.0}
{'loss': 10.9566, 'grad_norm': 3.59375, 'learning_rate': 1.0938924339106652e-06, 'epoch': 0.0}
{'loss': 10.9573, 'grad_norm': 3.875, 'learning_rate': 1.640838650865998e-06, 'epoch': 0.0}
{'loss': 10.9622, 'grad_norm': 3.59375, 'learning_rate': 2.1877848678213305e-06, 'epoch': 0.0}
{'loss': 10.9648, 'grad_norm': 4.25, 'learning_rate': 2.734731084776663e-06, 'epoch': 0.0}
{'loss': 10.9421, 'grad_norm': 3.765625, 'learning_rate': 3.281677301731996e-06, 'epoch': 0.0}
{'loss': 10.9329, 'grad_norm': 3.734375, 'learning_rate': 3.828623518687329e-06, 'epoch': 0.0}
{'loss': 10.9376, 'grad_norm': 3.609375, 'learning_rate': 4.375569735642661e-06, 'epoch': 0.0}
{'loss': 10.9528, 'grad_norm': 3.6875, 'learning_rate': 4.922515952597994e-06, 'epoch': 0.0}
{'loss': 10.9379, 'grad_norm': 3.515625, 'learning_rate': 5.469462169553326e-06, 'epoch': 0.0}
{'loss': 10.9305, 'grad_norm': 3.875, 'learning_rate': 6.01640838650866e-06, 'epoch': 0.0}
{'loss': 10.9349, 'grad_norm': 3.484375, 'learning_rate': 6.563354603463992e-06, 'epoch': 0.0}
{'loss': 10.9201, 'grad_norm': 3.578125, 'learning_rate': 7.110300820419325e-06, 'epoch': 0.0}
{'loss': 10.8936, 'grad_norm': 4.375, 'learning_rate': 7.657247037374658e-06, 'epoch': 0.0}
{'loss': 10.8883, 'grad_norm': 3.8125, 'learning_rate': 8.20419325432999e-06, 'epoch': 0.0}
{'loss': 10.8861, 'grad_norm': 3.578125, 'learning_rate': 8.751139471285322e-06, 'epoch': 0.0}
{'loss': 10.8671, 'grad_norm': 3.546875, 'learning_rate': 9.298085688240655e-06, 'epoch': 0.0}
{'loss': 10.8173, 'grad_norm': 3.453125, 'learning_rate': 9.845031905195989e-06, 'epoch': 0.0}
{'loss': 10.8059, 'grad_norm': 3.546875, 'learning_rate': 1.0391978122151322e-05, 'epoch': 0.0}
{'loss': 10.7618, 'grad_norm': 3.8125, 'learning_rate': 1.0938924339106652e-05, 'epoch': 0.0}
{'loss': 10.7624, 'grad_norm': 3.421875, 'learning_rate': 1.1485870556061986e-05, 'epoch': 0.0}
{'loss': 10.7239, 'grad_norm': 3.34375, 'learning_rate': 1.203281677301732e-05, 'epoch': 0.0}
{'loss': 10.6945, 'grad_norm': 3.4375, 'learning_rate': 1.2579762989972653e-05, 'epoch': 0.0}
{'loss': 10.6596, 'grad_norm': 4.03125, 'learning_rate': 1.3126709206927984e-05, 'epoch': 0.0}
{'loss': 10.6319, 'grad_norm': 3.203125, 'learning_rate': 1.3673655423883316e-05, 'epoch': 0.0}
{'loss': 10.5991, 'grad_norm': 3.1875, 'learning_rate': 1.422060164083865e-05, 'epoch': 0.0}
{'loss': 10.599, 'grad_norm': 3.0, 'learning_rate': 1.4767547857793981e-05, 'epoch': 0.0}
{'loss': 10.5133, 'grad_norm': 3.265625, 'learning_rate': 1.5314494074749317e-05, 'epoch': 0.0}
{'loss': 10.4571, 'grad_norm': 3.171875, 'learning_rate': 1.586144029170465e-05, 'epoch': 0.0}
{'loss': 10.4433, 'grad_norm': 2.921875, 'learning_rate': 1.640838650865998e-05, 'epoch': 0.0}
{'loss': 10.3736, 'grad_norm': 3.046875, 'learning_rate': 1.6955332725615312e-05, 'epoch': 0.0}
{'loss': 10.3926, 'grad_norm': 2.578125, 'learning_rate': 1.7502278942570644e-05, 'epoch': 0.0}
{'loss': 10.326, 'grad_norm': 2.5, 'learning_rate': 1.804922515952598e-05, 'epoch': 0.0}
{'loss': 10.2684, 'grad_norm': 2.453125, 'learning_rate': 1.859617137648131e-05, 'epoch': 0.0}
{'loss': 10.1942, 'grad_norm': 2.4375, 'learning_rate': 1.9143117593436642e-05, 'epoch': 0.0}
{'loss': 10.105, 'grad_norm': 2.546875, 'learning_rate': 1.9690063810391978e-05, 'epoch': 0.0}
{'loss': 10.1628, 'grad_norm': 2.25, 'learning_rate': 2.023701002734731e-05, 'epoch': 0.0}
{'loss': 10.1741, 'grad_norm': 2.296875, 'learning_rate': 2.0783956244302645e-05, 'epoch': 0.0}
{'loss': 10.1101, 'grad_norm': 2.125, 'learning_rate': 2.1330902461257973e-05, 'epoch': 0.0}
{'loss': 10.0566, 'grad_norm': 2.1875, 'learning_rate': 2.1877848678213305e-05, 'epoch': 0.0}
{'loss': 9.916, 'grad_norm': 2.359375, 'learning_rate': 2.242479489516864e-05, 'epoch': 0.0}
{'loss': 9.9948, 'grad_norm': 2.015625, 'learning_rate': 2.297174111212397e-05, 'epoch': 0.0}
{'loss': 9.9151, 'grad_norm': 2.390625, 'learning_rate': 2.3518687329079307e-05, 'epoch': 0.0}
{'loss': 9.8891, 'grad_norm': 2.0625, 'learning_rate': 2.406563354603464e-05, 'epoch': 0.0}
{'loss': 9.9398, 'grad_norm': 2.296875, 'learning_rate': 2.461257976298997e-05, 'epoch': 0.0}
{'loss': 9.8285, 'grad_norm': 2.125, 'learning_rate': 2.5159525979945305e-05, 'epoch': 0.0}
{'loss': 9.8538, 'grad_norm': 1.9140625, 'learning_rate': 2.5706472196900634e-05, 'epoch': 0.0}
{'loss': 9.8512, 'grad_norm': 1.8203125, 'learning_rate': 2.625341841385597e-05, 'epoch': 0.0}
{'loss': 9.6925, 'grad_norm': 2.046875, 'learning_rate': 2.68003646308113e-05, 'epoch': 0.0}
